pedido_id,fecha,zona,tipo_servicio,distancia_km,peso_kg,tiempo_entrega_min,costo_envio,calificacion_cliente
1,2026-06-07,Residencial,Estándar,13.4,0.96,89.5,12157.0,1.0
2,2026-06-20,Comercial,Estándar,7.3,5.07,57.1,10426.0,2.0
3,2026-06-29,Comercial,Estándar,2.25,1.49,43.0,4460.0,5.0
4,2026-06-15,Centro,Express,3.74,5.49,41.4,11186.0,2.0
5,2026-06-11,Periferia,Express,5.15,3.09,32.6,9907.0,5.0
6,2026-06-08,Residencial,Express,4.65,2.24,61.9,9375.0,2.0
7,2026-06-29,Industrial,Estándar,2.91,8.23,168.0,7576.0,1.0
8,2026-06-21,Centro,Estándar,13.89,2.95,53.7,12639.0,2.0
9,2026-06-07,Comercial,Estándar,5.47,3.83,139.3,8380.0,1.0
10,2026-06-26,Centro,Express,2.51,0.47,36.0,7789.0,4.0
11,2026-06-19,Comercial,Estándar,3.37,5.87,41.5,5933.0,5.0
12,2026-06-23,Comercial,Express,3.43,2.99,34.0,9258.0,4.0
13,2026-06-11,Periferia,Estándar,2.07,6.04,31.5,7112.0,5.0
14,2026-06-11,Periferia,Estándar,4.46,1.68,30.5,5956.0,5.0
15,2026-06-24,Periferia,Estándar,3.66,1.55,30.8,5204.0,4.0
16,2026-06-21,Comercial,Estándar,5.08,3.32,175.0,6631.0,1.0
17,2026-06-04,Periferia,Estándar,7.83,6.43,53.3,9910.0,3.0
18,2026-06-08,Industrial,Estándar,2.77,3.07,24.6,5639.0,5.0
19,2026-06-24,Industrial,Estándar,6.16,3.73,32.9,8552.0,4.0
20,2026-06-03,Periferia,Estándar,2.72,2.6,30.1,5211.0,5.0
21,2026-06-22,Periferia,Estándar,2.44,1.66,16.5,4212.0,5.0
22,2026-06-21,Comercial,Estándar,8.34,2.51,59.2,7724.0,2.0
23,2026-06-02,Residencial,Estándar,3.14,0.97,59.4,5715.0,2.0
24,2026-06-24,Centro,Estándar,6.86,1.63,39.9,8546.0,5.0
25,2026-06-12,Centro,Estándar,7.75,1.08,52.1,7331.0,5.0
26,2026-06-30,Periferia,Express,4.42,1.58,29.9,10092.0,5.0
27,2026-06-06,Industrial,Estándar,6.64,4.42,39.0,8414.0,4.0
28,2026-06-02,Periferia,Estándar,6.23,1.03,41.7,5996.0,3.0
29,2026-06-28,Residencial,Estándar,5.65,2.73,52.8,6818.0,3.0
30,2026-06-21,Centro,Estándar,4.79,3.87,46.7,7142.0,3.0
31,2026-06-01,Centro,Estándar,5.56,3.03,40.4,6625.0,5.0
32,2026-06-12,Centro,Estándar,3.87,4.53,43.0,6581.0,4.0
33,2026-06-26,Residencial,Estándar,2.26,1.83,55.5,4401.0,3.0
34,2026-06-22,Centro,Estándar,5.23,1.96,35.2,7027.0,3.0
35,2026-06-29,Periferia,Estándar,5.93,6.76,45.9,8694.0,4.0
36,2026-06-12,Periferia,Estándar,10.35,5.65,67.5,11991.0,2.0
37,2026-06-25,Industrial,Express,3.8,4.7,26.5,10552.0,5.0
38,2026-06-17,Centro,Estándar,3.63,1.52,46.7,5462.0,3.0
39,2026-06-27,Industrial,Estándar,2.09,3.2,31.6,4155.0,5.0
40,2026-06-27,Periferia,Express,2.49,0.84,20.0,7977.0,5.0
41,2026-06-10,Residencial,Express,1.96,1.02,47.2,7324.0,3.0
42,2026-06-28,Comercial,Express,2.18,1.89,33.1,7915.0,5.0
43,2026-06-28,Periferia,Estándar,3.53,5.39,24.7,6412.0,5.0
44,2026-06-16,Residencial,Express,7.21,0.78,55.5,11653.0,3.0
45,2026-06-15,Centro,Express,5.94,1.62,49.5,10509.0,3.0
46,2026-06-30,Comercial,Estándar,11.42,2.51,69.5,11553.0,2.0
47,2026-06-30,Periferia,Estándar,6.44,2.01,58.6,8170.0,3.0
48,2026-06-15,Periferia,Estándar,1.72,2.5,23.4,4283.0,5.0
49,2026-06-30,Centro,Express,5.4,1.36,41.6,10330.0,3.0
50,2026-06-19,Periferia,Estándar,12.25,1.5,85.6,10974.0,1.0
51,2026-06-12,Centro,Estándar,2.54,1.01,30.5,4829.0,5.0
52,2026-06-23,Industrial,Estándar,6.02,0.96,35.2,6832.0,4.0
53,2026-06-20,Centro,Estándar,4.01,6.89,40.6,6841.0,2.0
54,2026-06-25,Comercial,Estándar,4.49,0.56,52.0,4573.0,3.0
55,2026-06-03,Industrial,Estándar,8.65,2.86,43.4,9256.0,4.0
56,2026-06-05,Comercial,Estándar,5.1,2.63,46.1,7255.0,4.0
57,2026-06-19,Comercial,Estándar,5.06,4.58,48.0,7583.0,3.0
58,2026-06-07,Centro,Estándar,4.24,1.71,44.7,5077.0,4.0
59,2026-06-21,Centro,Estándar,10.61,4.25,40.6,11716.0,5.0
60,2026-06-09,Periferia,Estándar,4.15,1.21,35.4,6187.0,4.0
61,2026-06-07,Residencial,Estándar,4.99,2.65,240.3,7177.0,1.0
62,2026-06-18,Industrial,Estándar,3.85,1.56,25.6,6027.0,5.0
63,2026-06-04,Comercial,Express,2.93,1.34,38.8,7602.0,4.0
64,2026-06-25,Comercial,Estándar,8.17,2.67,52.9,8828.0,5.0
65,2026-06-28,Residencial,Estándar,8.52,5.33,65.3,10754.0,1.0
66,2026-06-14,Periferia,Estándar,5.41,0.9,45.2,6413.0,3.0
67,2026-06-18,Periferia,Estándar,6.54,1.23,54.9,6880.0,3.0
68,2026-06-26,Comercial,Estándar,8.84,3.34,64.7,9812.0,2.0
69,2026-06-09,Comercial,Estándar,4.04,2.33,42.6,6026.0,3.0
70,2026-06-26,Industrial,Estándar,4.31,1.08,33.4,6233.0,5.0
71,2026-06-21,Industrial,Estándar,3.02,4.07,29.0,5853.0,5.0
72,2026-06-02,Industrial,Express,7.28,1.97,34.7,11784.0,5.0
73,2026-06-20,Periferia,Estándar,4.24,1.63,39.6,5743.0,4.0
74,2026-06-28,Comercial,Estándar,5.1,1.19,53.1,5791.0,3.0
75,2026-06-15,Industrial,Estándar,6.4,1.37,36.4,7352.0,5.0
76,2026-06-28,Centro,Estándar,6.56,1.07,55.0,7941.0,2.0
77,2026-06-07,Centro,Estándar,2.66,4.77,44.7,5494.0,5.0
78,2026-06-12,Comercial,Estándar,6.95,2.91,53.4,7989.0,2.0
79,2026-06-29,Industrial,Estándar,15.03,2.3,56.6,12445.0,3.0
80,2026-06-08,Periferia,Express,4.97,1.67,38.5,10263.0,5.0
81,2026-06-15,Centro,Estándar,10.25,1.44,50.5,10294.0,3.0
82,2026-06-03,Industrial,Express,2.0,23.0,20.3,14675.0,5.0
83,2026-06-14,Centro,Estándar,5.23,5.1,39.6,7398.0,4.0
84,2026-06-17,Periferia,Estándar,1.64,1.4,14.5,3105.0,5.0
85,2026-06-04,Industrial,Estándar,8.5,0.99,36.9,6714.0,5.0
86,2026-06-18,Industrial,Estándar,2.83,2.01,25.4,4306.0,5.0
87,2026-06-08,Residencial,Estándar,3.99,6.91,40.1,8428.0,4.0
88,2026-06-04,Centro,Estándar,2.92,1.04,41.8,4698.0,3.0
89,2026-06-02,Centro,Estándar,8.75,17.12,52.0,14932.0,3.0
90,2026-06-30,Centro,Estándar,9.05,4.82,48.5,10544.0,3.0
91,2026-06-06,Centro,Estándar,3.05,1.76,49.9,5645.0,3.0
92,2026-06-22,Centro,Estándar,5.08,2.23,51.2,6585.0,3.0
93,2026-06-10,Comercial,Estándar,2.82,2.83,39.0,4748.0,4.0
94,2026-06-04,Periferia,Express,4.85,2.28,46.5,10286.0,4.0
95,2026-06-22,Residencial,Express,2.37,3.15,40.0,8144.0,4.0
96,2026-06-29,Centro,Estándar,3.24,4.97,54.3,5883.0,3.0
97,2026-06-18,Industrial,Estándar,4.75,2.0,28.6,6184.0,4.0
98,2026-06-26,Residencial,Express,8.11,4.43,42.1,13350.0,4.0
99,2026-06-12,Centro,Estándar,4.17,0.91,47.4,6150.0,4.0
100,2026-06-02,Periferia,Estándar,11.2,2.15,74.2,10448.0,1.0
101,2026-06-10,Industrial,Express,3.55,1.42,23.7,9090.0,5.0
102,2026-06-30,Industrial,Estándar,1.86,0.98,19.8,3387.0,5.0
103,2026-06-04,Industrial,Estándar,2.33,2.44,191.6,4569.0,1.0
104,2026-06-14,Periferia,Estándar,3.47,6.21,20.6,7049.0,4.0
105,2026-06-16,Comercial,Estándar,20.44,1.78,99.0,18841.0,1.0
106,2026-06-15,Industrial,Estándar,4.06,2.05,26.0,5560.0,4.0
107,2026-06-08,Centro,Estándar,3.36,4.97,42.4,6848.0,4.0
108,2026-06-14,Residencial,Estándar,6.2,2.79,60.6,7403.0,3.0
109,2026-06-23,Periferia,Estándar,10.72,1.34,76.3,9361.0,2.0
110,2026-06-28,Periferia,Estándar,6.4,1.45,54.1,6270.0,5.0
111,2026-06-25,Comercial,Estándar,4.4,1.79,49.8,6424.0,3.0
112,2026-06-30,Industrial,Estándar,14.79,0.7,68.1,12394.0,1.0
113,2026-06-08,Centro,Express,7.96,6.55,28.4,13171.0,3.0
114,2026-06-21,Periferia,Express,5.54,3.11,34.1,9522.0,4.0
115,2026-06-16,Comercial,Estándar,10.3,1.39,49.4,9481.0,3.0
116,2026-06-13,Industrial,Express,4.95,3.57,27.0,9879.0,5.0
117,2026-06-18,Residencial,Estándar,4.64,2.86,49.6,5890.0,4.0
118,2026-06-15,Centro,Express,3.36,3.19,39.1,9296.0,4.0
119,2026-06-21,Centro,Estándar,3.08,4.56,45.0,5584.0,3.0
